provinsi,2021,2022,aps_7-12,2021,2022,aps_13-15,2021,2022,aps_16-18,2021,2022,aps_19-23
ACEH,99.67,99.44,99.43,98.42,97.96,97.72,83.28,83.1,83.41,34.95,34.31,35.24
SUMATERA UTARA,99.32,99.5,99.51,96.99,96.78,96.76,78.66,78.66,79.25,29.34,29.06,31.08
SUMATERA BARAT,99.61,99.55,99.76,96.63,96.52,96.79,84.07,83.71,84.33,39.4,39.39,42.19
RIAU,99.65,99.61,99.65,95.66,95.72,95.89,77.81,77.32,78.15,30.38,30.23,32.32
JAMBI,99.66,99.33,99.49,96.39,96.2,96.01,72.5,72.53,72.46,25.63,25.1,25.79
SUMATERA SELATAN,99.65,99.38,99.41,94.85,95.06,95.27,71.53,70.93,71.71,20.41,19.82,21.49
BENGKULU,99.76,99.49,99.42,97.49,97.73,97.91,79.75,79.31,79.57,33.59,33.04,34.05
LAMPUNG,99.53,99.56,99.61,95.58,95.63,95.93,71.72,71.14,71.74,23.05,22.37,23.51
KEPULAUAN BANGKA BELITUNG,99.47,99.41,99.51,93.17,93,93.2,68.15,68.42,69.53,19.1,18.88,19.38
KEPULAUAN RIAU,99.62,99.28,99.29,98.85,99.01,99.07,84.4,84.54,84.97,22.69,22.66,22.43
DKI JAKARTA,99.53,99.44,99.49,98.68,97.95,98.17,72.32,72.1,72.5,26.91,27.23,28.43
JAWA BARAT,99.5,99.39,99.4,95.09,95.27,95.75,67.8,68.66,68.58,24.82,24.82,26.45
JAWA TENGAH,99.66,99.58,99.57,96.84,96.77,97.08,70.79,70.82,70.87,25.19,25.03,26.52
DI YOGYAKARTA,99.7,99.59,99.63,99.43,99.01,98.88,89.63,89.95,91.17,56.41,56.69,55.8
JAWA TIMUR,99.4,99.14,99.28,97.76,97.64,97.64,74.14,73.4,74.07,27.1,26.87,28.59
BANTEN,99.45,99.33,99.43,96.77,96.39,96.65,68.94,69.22,69.64,23.54,23.67,24.85
BALI,99.7,99.55,99.61,98.22,97.85,97.95,83.96,83.84,84.73,31.48,32.9,34.31
NUSA TENGGARA BARAT,99.52,99.17,99.46,98.34,97.74,97.95,77.49,77.43,77.46,27.22,26.93,28.45
NUSA TENGGARA TIMUR,98.42,98.59,98.62,95.32,94.83,94.89,75.77,75.55,75.93,32.41,32.12,33.03
KALIMANTAN BARAT,98.64,98.73,98.81,93.14,92.64,92.92,69.38,68.72,69.25,26.08,25.88,27.42
KALIMANTAN TENGAH,99.55,99.2,99.13,95.21,94.61,95.21,66.7,66.32,66.32,25.43,24.94,25.49
KALIMANTAN SELATAN,99.38,99.43,99.3,93.5,94.01,94.12,69.31,69.88,69.95,27.64,27.64,29.09
KALIMANTAN TIMUR,99.6,99.57,99.64,98.9,98.75,98.71,82.01,81.43,81.5,33.45,33.4,34.75
KALIMANTAN UTARA,98.67,98.98,99.22,96.51,97.03,96.96,76.5,76.5,77.03,27.5,29.01,30.83
SULAWESI UTARA,99.37,99.34,99.34,95.41,94.86,95,73.86,74.33,74.55,24.59,24.41,25.88
SULAWESI TENGAH,98.5,98.22,98.34,93.32,93.02,93.13,76.32,75.84,76.29,30.14,29.79,30.31
SULAWESI SELATAN,99.29,99.43,99.49,93.55,93.2,93.22,71.21,70.81,71,35.8,35.79,37.89
SULAWESI TENGGARA,99.16,99.05,99.2,95.06,94.8,95,75.02,74.53,74.6,33.64,33.98,33.59
GORONTALO,99.02,98.93,98.69,92.05,91.83,91.85,71.3,71.68,71.7,34.68,34.04,35.5
SULAWESI BARAT,98.19,98.4,98.31,90.12,89.39,89.47,71.22,70.85,71.57,25.36,25.02,25.42
MALUKU,99.52,99.55,99.59,97.65,97.69,97.97,79.68,79.03,79.9,40.97,43.43,40.27
MALUKU UTARA,98.84,99.13,99.12,97,97.59,97.51,77.01,77.7,78.38,32.21,32.65,32.19
PAPUA BARAT,98.08,98.27,98.41,96.85,97.37,97.42,81.21,80.56,80.58,34.77,34.98,35.74
PAPUA BARAT DAYA, , , , , , , , , , , , 
PAPUA,83.43,84.35,83.61,80.02,81.66,80.91,63.98,65.93,64.15,25.26,25.12,26.06
PAPUA SELATAN, , , , , , , , , , , , 
PAPUA TENGAH, , , , , , , , , , , , 
PAPUA PEGUNUNGAN, , , , , , , , , , , , 
INDONESIA,99.19,99.1,99.16,95.99,95.92,96.1,73.09,73.15,73.42,27.72,27.61,28.96
