Provinsi,Indeks Pembangunan Manusia
Aceh,74.7
Sumatera Utara,75.13
Sumatera Barat,75.64
Riau,74.95
Jambi,73.73
Sumatera Selatan,73.18
Bengkulu,74.3
Lampung,72.48
Kepulauan Bangka Belitung,74.09
Kepulauan Riau,79.08
DKI Jakarta,83.55
Jawa Barat,74.24
Jawa Tengah,73.39
DI Yogyakarta,81.09
Jawa Timur,74.65
Banten,75.77
Bali,78.01
Nusa Tenggara Barat,72.37
Nusa Tenggara Timur,68.4
Kalimantan Barat,70.47
Kalimantan Tengah,73.73
Kalimantan Selatan,74.66
Kalimantan Timur,78.2
Kalimantan Utara,72.88
Sulawesi Utara,75.04
Sulawesi Tengah,71.66
Sulawesi Selatan,74.6
Sulawesi Tenggara,72.94
Gorontalo,71.25
Sulawesi Barat,69.8
Maluku,72.75
Maluku Utara,70.98
Papua Barat,67.47
Papua Barat Daya,...
Papua,63.01
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
Indonesia,74.39
