Provinsi,pdrb_miliar
Aceh,227110.2
Sumatera Utara,1050995.41
Sumatera Barat,312770.28
Riau,1026472.05
Jambi,293729.31
Sumatera Selatan,629099.66
Bengkulu,96551.38
Lampung,448880.25
Kepulauan Bangka Belitung,102635.65
Kepulauan Riau,331889.5
DKI Jakarta,3442980.93
Jawa Barat,2625218.58
Jawa Tengah,1696795.42
DI Yogyakarta,180689.95
Jawa Timur,2953546.91
Banten,814124.34
Bali,274355.72
Nusa Tenggara Barat,166394.91
Nusa Tenggara Timur,128523.13
Kalimantan Barat,274468.58
Kalimantan Tengah,208846.41
Kalimantan Selatan,269296.45
Kalimantan Timur,843571.25
Kalimantan Utara,147278.62
Sulawesi Utara,171969.42
Sulawesi Tengah,347139.17
Sulawesi Selatan,652574.05
Sulawesi Tenggara,176179.9
Gorontalo,51374.4
Sulawesi Barat,58551.82
Maluku,58489.79
Maluku Utara,85145.36
Papua Barat,61571.37
Papua Barat Daya,36104.47
Papua,81737.92
Papua Selatan,31359.66
Papua Tengah,150371.08
Papua Pegunungan,24433.99
