Provinsi,Jumlah Sekolah SMK (Negeri),Jumlah Sekolah SMK (Swasta),Jumlah Sekolah SMK (Negeri+Swasta),Jumlah Guru SMK (Negeri),Jumlah Guru SMK (Swasta),Jumlah Guru SMK (Negeri+Swasta),Jumlah Murid SMK (Negeri),Jumlah Murid SMK (Swasta),Jumlah Murid SMK (Negeri+Swasta)
Aceh,153,69,222,6450,807,7257,46341,7759,54100
Sumatera Utara,274,685,959,10835,10156,20991,138169,166396,304565
Sumatera Barat,115,97,212,6017,1446,7463,75274,13008,88282
Riau,138,168,306,5360,3106,8466,68528,36797,105325
Jambi,107,74,181,3553,923,4476,38401,10828,49229
Sumatera Selatan,121,193,314,5853,2981,8834,78601,47324,125925
Bengkulu,65,38,103,2613,447,3060,25124,3418,28542
Lampung,111,386,497,4848,5708,10556,68999,81737,150736
Kepulauan Bangka Belitung,36,23,59,1353,379,1732,19397,5239,24636
Kepulauan Riau,36,68,104,1788,808,2596,28493,9491,37984
DKI Jakarta,73,488,561,3494,8255,11749,57652,138996,196648
Jawa Barat,288,2625,2913,17738,40888,58626,343384,725091,1068475
Jawa Tengah,239,1302,1541,17033,29059,46092,300562,503857,804419
DI Yogyakarta,50,156,206,3161,3281,6442,51489,37353,88842
Jawa Timur,297,1850,2147,20154,29605,49759,346931,427637,774568
Banten,91,633,724,4435,9575,14010,91430,159985,251415
Bali,57,113,170,3555,2172,5727,54131,34998,89129
Nusa Tenggara Barat,99,230,329,5304,2528,7832,54577,23135,77712
Nusa Tenggara Timur,174,169,343,6185,3244,9429,60670,43204,103874
Kalimantan Barat,117,116,233,3473,1273,4746,56973,18768,75741
Kalimantan Tengah,94,45,139,2538,624,3162,27041,6125,33166
Kalimantan Selatan,64,64,128,3026,1102,4128,42920,12518,55438
Kalimantan Timur,88,129,217,3481,1850,5331,54574,28536,83110
Kalimantan Utara,22,12,34,779,153,932,9519,938,10457
Sulawesi Utara,92,100,192,3075,1099,4174,33142,12624,45766
Sulawesi Tengah,107,75,182,2964,881,3845,32054,9889,41943
Sulawesi Selatan,168,238,406,7659,2685,10344,87122,33178,120300
Sulawesi Tenggara,102,66,168,3382,689,4071,29223,5513,34736
Gorontalo,40,19,59,1491,272,1763,14455,2352,16807
Sulawesi Barat,60,70,130,1949,683,2632,18604,6469,25073
Maluku,84,36,120,2208,574,2782,15750,6062,21812
Maluku Utara,63,87,150,1347,723,2070,9677,9474,19151
Papua Barat,16,5,21,520,121,641,5287,1449,6736
Papua Barat Daya,16,22,38,530,302,832,5570,3415,8985
Papua,35,14,49,968,304,1272,9433,3930,13363
Papua Selatan,21,4,25,584,62,646,6300,707,7007
Papua Tengah,16,35,51,486,512,998,5253,5928,11181
Papua Pegunungan,10,9,19,121,128,249,1726,2699,4425
Indonesia,3739,10513,14252,170310,169405,339715,2412776,2646827,5059603
